pidan | 鯊魚貓抓板,250,data/img/white/w18.jpg,商品描述                                產品介紹●為天性設計 為磨爪而生●簡約動物造型 趣味加分●色彩淡雅不花哨 提升生活品味●優選高密度紙材 全自動瓦楞紙生產工藝 耐用耐磨●雙面瓦楞設計 正反均可使用●壽命更長 經濟又貼心●四種款式 任意組合●N種玩法 樂趣多多●弧度凹面設計磨爪更安逸 讓貓咪既能抓玩 也可安睡其中產品規格尺寸400x300x66mm重量淨重: 0.53kg毛重 : 0.86kg材質瓦愣紙抓板
PETKIT | 新風外出貓背包 (二色),2880,data/img/white/w19.jpg,商品描述                                將復古滲透進設計●智能風速調節 遠離悶熱感●一鍵開啟 無感送風新體驗●多面通風孔●廣幅天窗設計●增加底部面積 可躺著●漸進式燈光設計 夜晚便於觀測包內愛寵●車載固定帶設計●適用8公斤以內貓咪●新款拉鍊升級 :更改為自鎖式拉鍊，在自然垂落時即為鎖死狀態，並且在不受外力的情況下保持鎖止，使用更安全養護與清洗背負部分如需清洗，可先拆下內部底墊，請用含有清水或清潔劑的濕布擦拭乾淨(殼體內部墊子元件不可沾水)，後通風陰乾即可，切勿擰乾或曝曬。因深色面料易褪色，擦拭時請不要使用含有漂白或螢光劑的洗滌用品。有油污等頑固污漬時，請勿過量使用洗滌劑。深色面料被水打濕或者由於摩擦會發生移色，敬請注意。保管時請放置在避免陽光直射的地方，以免導致變色或加速產品老化。硬質殼體部分請注意避免接觸尖銳物體，防止刮花。使用安全引導請嚴格按說明書安裝和使用設備。燈光功能為特殊環境照明裝飾，如愛寵反應激烈或出現不適請即時關閉。狀況不佳或毛髮未乾的寵物請慎用風力系統。如有兒童使用此設備，請確保在成人引導下使用。除維修人員外，其他人不得對本產品進行維修，以免造成各種意外傷害。尺寸330x300x450mm重量1.4kg材質ABS、PC、織物額定電壓5VDC
pidan | 手持軟膠逗貓棒,250,data/img/white/w20.jpg,商品描述                                碳纖維前桿 採用堅固的高分子結合工藝●保證強度 不易變形●荷木手柄 不含化學塗料●精心拋光研磨打造 手感舒適●鵝毛配件採用手工水染工藝 不含化工染料●加購區購買配件種類多 只需更換前端 自由搭配注意事項新版無附贈鈴鐺尺寸2.7x2.7x60cm重量淨重: 60g材質主材 :尼龍、TPU配件 :鵝毛、鋁合金溫馨提醒羽毛為消耗品 請注意定期更換
pidan | 雪屋 貓砂盆,1990,data/img/white/w21.jpg,商品描述                                產品介紹●將雪地靜謐、柔和的氣氛與雪屋融合●超大球形結構 寬敞弧形空間●半封閉式結構 給貓咪更多私密和安全感●擁有嬰兒級的安全保障●超大底盆 鏟砂無死角●超長漏砂走廊 減少貓砂被帶出的可能●特別設計的密封擋板 杜絕貓尿外漏●附貓砂鏟 鏟面設計巧妙 手感舒適●為單層貓砂盆，僅適合使用結團類貓砂溫馨提醒雪屋可為7KG以下貓咪提供舒適的如廁環境，不同貓咪體型差異較大，購買前請注意產品尺寸產品規格尺寸產品尺寸 :54.8x54.8x49.25cm包裝尺寸 :56x55x50cm重量淨重：3.1kg毛重：5.1kg材質ABS
pidan | 孔雀翎逗貓棒,550,data/img/white/w22.jpg,商品描述                                產品介紹●使用純天然的荷木手柄 安全無味●碳纖維材質前桿 類膚質表面處理 堅硬而牢固●精巧切合 隨心更換 耐久環保●請將長螺紋端對應手柄接口旋轉至固定 短螺紋端對應羽毛部件接口旋轉至固定注意事項新版無附贈鈴鐺產品規格尺寸33x9x6cm重量淨重 : 0.045kg毛重 : 0.29kg材質荷木、碳纖維杆
pidan | 蹭臉按摩器,220,data/img/white/w23.jpg,商品描述                                產品介紹●高品質矽膠材料 不含有害物質●高低錯落的針刷 模仿恐龍甲背 趣味橫生●強力魔術貼 牢牢固定在椅腿不脫落●適用於 3cm~6cm 直徑的椅腿或家具產品規格尺寸14.4x9.8x2.1cm重量淨重:67.6g毛重 : 154.5g材質矽膠、魔鬼氈
WULEE | 外出太空包 (三色),1590,data/img/white/w24.jpg,商品描述                                FANPEI全系列商品之品牌陸續更名為WULEE目前FANPEI、WULEE新舊包裝隨機出貨，如有不便敬請見諒雙門雙開●防勿開鎖設計●互動口隨時可以安撫寶貝●S型提把 外出野餐更方便注意事項軟墊顏色依照規格名稱搭配承重約7.5kg尺寸46x33x33.5cm材質PC、ABS
pidan | 溜溜窩貓抓板 - 貓窩款,490,data/img/white/w25.jpg,商品描述                                產品介紹●採用高質量瓦楞紙 激發貓咪抓撓天性●弧形的輪廓 平整的分割設計●結實緊密 整齊而潔淨●雙面設計 經久耐用●正反都可使用 壽命是普通抓板的雙倍產品規格尺寸44x44x15cm重量淨重:1.1kg毛重 : 1.72kg材質瓦愣紙
pidan | 除毛按摩刷 - 逗趣款,250,data/img/white/w26.jpg,商品描述                                產品介紹●不易傷害愛寵皮膚的梳理新體驗●112支、1.3毫米直徑的高韌性尼龍梳針●持久耐用的ABS一體化外殼 並配置毛髮清理按鈕●一梳、一按 輕鬆除毛溫馨提醒若愛寵物毛髮已出現大面積打結，請交由寵物醫院或經驗豐富的美容師處理梳裡嚴重打結的毛髮可能損壞梳齒產品規格尺寸120x90x40mm重量0.078kg材質ABS
Furrytail | 小澄智能寵物飲水機,990,data/img/white/w27.jpg,商品描述                                五重深度淨化水質●原創式分離底座 清洗方便 自動斷電●緩流設計 三重靜音體驗●缺水即刻斷電●智能柔光燈缺水提醒●1.88L大容水量溫馨提醒小澄智能寵物飲水機為緩流式出水，通過緩慢流水降低水流聲，使靜音效果更好，營造安靜的養寵環境，介意水流平緩的貓奴請謹慎購買請根據寵物飲水情況，定期清理水箱，建議每週一次尺寸20x20x15.6cm材質ABS抗菌材料容量1.88L
pidan | 寵物秤重食盆,550,data/img/white/w28.jpg,商品描述                                產品介紹●可分段稱量的寵物稱重餵食碗●獨有的“分段清零”功能●多種食物混合也能精確把握份量●分體設計 簡單清潔 更能分開使用●一鍵操作 開關自如 省電省心注意事項本產品不含電池，需消費者自行準備3顆4號電池底座不可水洗 碗體不可微波爐加熱不適用於洗碗機本產品最大顯示數值999克，表面最大承重20千克產品規格尺寸230x230x74mm重量450g材質ABS、AS、電子部分
Furrytail | 小宅貓砂盆,1890,data/img/white/w29.jpg,商品描述                                產品介紹●大貓小貓都能自由進出●貓砂可裝7公斤●轉角漏砂回廊 減少夾帶貓砂●半開放式設計 不悶臭●半透明灰色門擋 隱私中帶點光●回廊下方抽屜貓砂可重複使用●搭配抽屜 收納控最愛●ABS材質 輕擦即可光潔如新●別墅造型貓廁所產品規格材質ABS重量6kg
pidan | 貓砂鏟,320,data/img/white/w30.jpg,商品描述                                產品介紹●弧形鏟面 利用重力引流貓砂●鏟子前端科學設計 合理的孔距●進口的ABS套件材質 解決砂鏟的放置煩惱●輕鬆易鏟 方便清理易碎貓砂●配合所有貓砂盆使用 簡潔美觀產品規格尺寸15x12x30cm重量淨重:0.58kg毛重:0.84kg材質ABS、鐵
CHONLDERL | 毛球星人半封閉貓砂盆,690,data/img/white/w31.jpg,商品描述                                半開放貓廁所型態迎合貓咪習性，無需費心、淨享養貓●裸空踏板防帶砂●循環流通大空間 減少細菌●暖心尺寸 自由進出●兩片式雙層設計 清潔無死角●以環保為基礎 材質優良尺寸S號 : 41.9x27.4x14cmM號 : 49.5x36.5x18cm
